index,timestamp,x,y,z,qx,qy,qz,qw
0,1.634004627843472e+18,-0.1455755199999999,0.32306042,0.38033253,0.0035994366828501,0.006128263918971,0.9713556015254632,-0.2375242804894081
1,1.6340046484184911e+18,-0.4709294399999999,0.75082994,0.41521055,0.001375276828594,0.0060689944003201,0.96347338845437,-0.2677317793256305
2,1.6340046494271503e+18,-0.6673296099999999,1.37003767,0.38901114,0.0019633820037712,0.0052941581512172,0.9827476586579972,-0.1848652385463584
3,1.6340046500322263e+18,-0.8879466099999999,1.91628397,0.37524846,0.0007238404625117,0.0048840282243552,0.9825035380026697,-0.1861784631355771
4,1.6340046506373606e+18,-1.1431463999999998,2.56004786,0.34782654,0.0007810633646845,0.0047176059694851,0.9818555807553496,-0.1895699150010676
5,1.6340046512425275e+18,-1.3625351199999998,3.11009836,0.32793576,0.0001315055263005,0.0044051355002832,0.981533315279858,-0.1912404990666248
6,1.634004651847661e+18,-1.6031849399999998,3.70875359,0.29367617,-0.0003306161364211,0.003838565621847,0.9812309404789996,-0.1927978152200775
7,1.6340046524529275e+18,-1.81078148,4.2745266,0.29417545,-0.0011638707478921,0.003546527084213,0.9811043709815076,-0.193443223689804
8,1.6340046530579717e+18,-1.99199605,4.80759287,0.29406053,-0.0016559136186682,0.0034829263862433,0.9861187301672654,-0.165996919209893
9,1.634004653663114e+18,-2.1949198199999995,5.36655664,0.29187083,-0.0023533282914421,0.0033350195904271,0.9859783732425592,-0.1668232207704942
10,1.6340046542683028e+18,-2.37557936,5.92926979,0.31396002,-0.0032328325059697,0.0032932342530317,0.985727154820366,-0.1682874910737254
11,1.6340046548734423e+18,-2.57685184,6.48849916,0.31116247,-0.0040350448375819,0.0030320265735514,0.9852398604855972,-0.1711050628658814
12,1.6340046554785649e+18,-2.7840506999999994,7.06021738,0.31068322,-0.0049994049309012,0.0028036128180534,0.9849607680636836,-0.1726830364595845
13,1.6340046560837268e+18,-2.98239994,7.61295223,0.33185104,-0.0058986572792625,0.0026731742551045,0.9846870763683032,-0.1742108538953513
14,1.6340046566888804e+18,-3.2325995,8.18485546,0.32854596,-0.0064904472949134,0.0023488641043058,0.9839844656140964,-0.1781205444677079
15,1.6340046572940206e+18,-3.4870176299999995,8.75513458,0.30517286,-0.0066511797034143,0.0012423380728765,0.9784139241580544,-0.2065439696972597
16,1.634004657899175e+18,-3.7657454,9.2802,0.29739097,-0.0071002505848945,0.0002864933136981,0.9718854164877094,-0.2353470662271458
17,1.6340046585043223e+18,-4.032158849999999,9.80385113,0.31015232,-0.0085006978720949,-0.0001930894279892,0.9697990018431196,-0.2437572498947447
18,1.634004659109477e+18,-4.345966819999999,10.34221363,0.29965749,-0.0084030782557648,-0.0005786369764327,0.9693175166058404,-0.2456676727942925
19,1.634004659714876e+18,-4.604929919999999,10.87311077,0.30731627,-0.0088922561841433,-0.0004223792803597,0.9708835058072438,-0.2393866485983187
20,1.6340046603197965e+18,-4.895685199999999,11.39855194,0.30949223,-0.0093837012782506,-0.0008640367935859,0.9701950909275204,-0.2421418698426201
21,1.6340046609249329e+18,-5.170505999999999,11.94733715,0.28614461,-0.0083604952759757,-0.0008325807069855,0.9716351734449108,-0.2363355636648547
22,1.6340046615300795e+18,-5.444010259999999,12.48775864,0.28768563,-0.009106810991639,-0.0011147732546575,0.9709595257246132,-0.2390678202493755
23,1.6340046621352535e+18,-5.729293349999999,13.03623581,0.27148128,-0.0093581991737677,-0.0016244468411133,0.9703747642439612,-0.2414178995003502
24,1.6340046627403822e+18,-6.009053709999999,13.54818439,0.26436535,-0.0100077830507783,-0.0016157642179124,0.9731357238260816,-0.230008905475177
25,1.634004663345612e+18,-6.288885119999999,14.09633446,0.24497837,-0.0103929713902255,-0.0021863614083871,0.9727272562783624,-0.2317086335522332
26,1.6340046639507185e+18,-6.575026039999999,14.63275623,0.26141471,-0.0110548775388751,-0.0024409269580444,0.9723810013446272,-0.2331244727226343
27,1.6340046645558344e+18,-6.861202239999999,15.18393135,0.26907834,-0.0115218113474877,-0.0027353693597829,0.9721129640504836,-0.2342138995506492
28,1.6340046651609884e+18,-7.123768329999999,15.72815609,0.27947855,-0.0121739585362402,-0.002916210314858,0.9717713426289156,-0.2355923345445527
29,1.6340046657661335e+18,-7.383550169999999,16.25801659,0.2863338,-0.0128000783815329,-0.0031167986471093,0.9712975414939088,-0.2375026935584275
30,1.634004666371282e+18,-7.669849399999999,16.79370308,0.29961324,-0.0136323905966618,-0.0033802685889491,0.9709486013752022,-0.2388755851869868
31,1.634004666976433e+18,-7.951775069999999,17.33631134,0.30944991,-0.01371090787509,-0.0037838942139572,0.9700529278052058,-0.2424768244727045
32,1.6340046675816074e+18,-8.226995469999999,17.88685608,0.29005843,-0.0139608349584016,-0.0043681560935144,0.9695807823329264,-0.2443340353497181
33,1.6340046681867604e+18,-8.520153999999998,18.39548302,0.30676478,-0.0145466622909916,-0.0046232343369758,0.9689664456279248,-0.2467205860232247
34,1.6340046687918897e+18,-8.837647439999998,18.92300606,0.33449146,-0.0146104850462022,-0.0048482970597999,0.9682445049928132,-0.2495307722377275
35,1.6340046693971174e+18,-9.12646866,19.4801178,0.30525139,-0.0145156517117852,-0.0056296995939808,0.967911072500888,-0.250810203277388
36,1.634004670002193e+18,-9.398248669999996,19.96323204,0.39009845,-0.016598905181445,-0.005147221204109,0.9678304828447956,-0.2510022687886765
37,1.6340046706073523e+18,-9.726630209999998,20.51005936,0.37609407,-0.0159092073202062,-0.0058014041275591,0.9673330947650148,-0.2529425322181513
38,1.6340046712124915e+18,-10.071739199999998,21.02201462,0.39679617,-0.0165074717369086,-0.0064270744930765,0.966322827932966,-0.256722395411758
39,1.6340046718176433e+18,-10.398455619999998,21.5392952,0.39979777,-0.0165629036962323,-0.0070845947400432,0.9661426392710488,-0.2573788633918701
